id,name,coordinates,region,description,location
12,AM:PM CAFE ,"1.3726324,103.8558191",central,"A cosy dessert spot in Ang Mo Kio known for its soft-serve ice cream served on Hong Kong style egglet waffles. The menu is fully customisable, letting you choose your soft-serve flavour along with toppings and sauces, with popular options like salted caramel, Earl Grey, and blue vanilla. It is open late, until 10:30 pm on most days and midnight on weekends, becoming a popular spot for affordable and Instagram-worthy desserts.",529 Ang Mo Kio Avenue 10 (Singapore 560529)
13,Professor Brawn Cafe,"1.3590412,103.8542903",central,"A warm, meaningful social-enterprise café based in Pathlight School  that offers affordable, comforting meals from steak & eggs to battered fish & chips while employing a largely inclusive workforce of differently-abled adults.",4 Tampines Street 91 (Singapore 528907)
14,Good Bites,"1.3522111,103.8524491",central,"Good Bites is a halal café serving fusion western dishes that are affordable from burgers, pasta and mains to desserts, all under about $15–$20. The menu also includes healthier options like soups and customisable bowls; for instance, their baked salmon is a highlight. It is open til 5 AM, making it a go-to spot for heartland dining at any hour.",5 Bishan Street 14 (Singapore 579783)
15,The Living Room Cafe,"1.3471278,103.8548085",central,"The Living Room Café (at Zion Bishan) is a warm, neighbourhood-style café tucked in the Bishan Bible-Presbyterian Church. It has a cozy, laid-back vibe that makes it a great place to chill, work, or catch up with friends. Their menu features comfort food favourites like chicken pot pie, mushroom tom yum pasta, and creamy soups, paired with simple breakfast and brunch options.",4 Bishan Street 13 (Singapore 579792)
16,Filled in the blank,"1.28967,103.85007",central,Filled in the Blank combines nostalgic Nanyang kopitiam flavours like Mee Siam Nasi Lemak and Curry Chee Cheong Fun with modern creativity. The space is airy and minimalist with unfinished textured walls curved accents and large windows that let in lots of natural light. Their drinks menu includes espresso-based coffees traditional kopi and teh and quirky options like an Iced Kopi Cloud. Open from 7:30 am to 8:30 pm and closed on Mondays it is a perfect spot for a relaxed meal or a quiet coffee break.,182 Clemenceau Avenue #01-02 (Singapore 239923)
17,Cafe Ma Maison (Mandarin Gallery),"1.3020859,103.8365434",central,Café Ma Maison is a cozy Japanese‑Western patisserie café that feels like home. It offers a charming menu of French-inspired tarts classic Japanese cakes like strawberry shortcakes and savoury dishes such as omu‑rice and mentaiko pasta. The décor is nostalgic and warm evoking a relaxed old‑school teahouse vibe designed for lingering chats and sweet treats.,333A Orchard Road #02-33/34 (Singapore 238897)
18,Equate Coffee (Orchard Central),"1.3006426,103.8399231",central,,181 Orchard Road #01-17A (Singapore 238896)
19,Rise Bakehouse,"1.28967,103.85007",central,,273 South Bridge Road (Singapore 058822)
20,GIG Cafe,"1.3341217,103.8489325",central,,Blk 419 Tampines Street 41 #01-104 (Singapore 520419)
21,The Larder Cafe,"1.3341217,103.8489325",central,,Blk 177 Toa Payoh Central #01-124 (Singapore 310177)
22,Craftsmen Coffee,"1.2888797,103.8464509",central,,275 Holland Avenue (Singapore 278993)
23,FYP (For You People) Cafe (Orchard Central),"1.3006426,103.8399231",central,,181 Orchard Road #04-22 (Singapore 238896)
24, H&C Halcyon & Crane Cafe (Paragon) ,"1.28967,103.85007",central,,290 Orchard Road #03-09 (Singapore 238859)
25,PS.Cafe Palais Renaissance (Palais S.C),"1.3025211,103.8353202",central,,390 Orchard Road #02-09A (Singapore 238871)
26,Wild Honey (Mandarin Gallery) ,"1.3020859,103.8365434",central,,333A Orchard Road #03-01/02 (Singapore 238897)
27,Wanderlust Cafe (Takashimaya Department Store) ,"1.3025211,103.8353202",central,,391A Orchard Road Level 3 (Singapore 238873)
28,Surrey Hills Grocer (Cafe@ION),"1.30459228413312,103.83232938650937",central,,2 Orchard Turn #05-02 (Singapore 237973)
29,AMI Patisserie,"1.3120909,103.8378368",central,,27 Scotts Rd (Singapore 228222)
30,Pancakes and Friends,"1.28967,103.85007",east,,
31,Columbus Coffee Co.,"1.3529312,103.8354886",east,,
32,Hello Arigato,"1.3528609,103.834437",east,,
33,Oaks Coffee Co.,"1.3527826,103.8345094",east,,
34,ToMo Cafe,"1.351474,103.8353851",east,,
35,SOD Cafe (Hougang),"1.3752149,103.882935",east,,51 Hougang Ave 9 #01-03 Ci Yuan Community Centre (Singapore 538776)
36,Sweedy Patisserie (Hougang),"1.3626358,103.8949462",east,,
37,Sweet Abyss at Minton (Hougang),"1.3524581,103.8782447",east,,
38,Apricus Cafe (Jalan Kayu),"1.3978688,103.873372",east,,
39,Clovelly (Jalan Riang),"1.3471196,103.8668069",east,,
40,Well Collective (Northshore Drive),"1.4178051,103.9010743",east,,Blk 418 Northshore Drive #02-11/12 (Singapore 820418)
41,Three Little Coconut (One Punggol Hub),"1.404866,103.9093067",east,,
42,Folk Yard (Potong Pasir),"1.331472493761751,103.86862699747223",east,,
43,Kizuna (Potong Pasir),"1.3327737,103.8678801",east,,
44,RISE (Potong Pasir),"1.3327737,103.8678801",east,,
45,Rise & Grind Coffee Co (Punggol Drive),"1.403067157077041,103.91333174295768",east,,
46,Joji's Diner (Serangoon),"1.3458800238592226,103.87162644519586",east,,
47,Apollo Coffee Bar (Serangoon Gardens),"1.3635179,103.8655289",east,,
48,Baker & Cook (Serangoon Gardens),"1.3639740958892257,103.86487282771148",east,,
49,Chu and Co (Serangoon Gardens),"1.3642716,103.8700559",east,,
50,Sun Ray Cafe (Serangoon Gardens),"1.3630575,103.8712939",east,,
51,Wildseed Cafe & Bar (Seletar Aerospace Drive),"1.4092184,103.8684808",east,,
52,Alkove Bistro (Simon Road),"1.362095830550705,103.88520643055269",east,,
53,Lola's Cafe (Simon Road),"1.3616561,103.8859446",east,,
54,Whisk & Paddle (Tebing Lane),"1.3928622,103.9170625",north,,
55,Home Cafe (Bedok Reservoir),"1.3360424,103.9124911",north,,
56,Refuel Cafe (Bedok Reservoir),"1.3376868497388235,103.92143827975305",north,,
57,Hub & Spoke Cafe (Airport Boulevard),"1.3506952,103.9873634",north,,
58,PS.Cafe Jewel (Airport Boulevard),"1.35514,103.99006",north,,
59,Bench Barista SG (Bedok Reservoir),"1.3381491,103.9223952",north,,
60,Marie’s Lapis Cafe (Bedok North),"1.3317902844437457,103.92437055342812",north,,
61,Chock Full of Beans (Changi Village),"1.38908,103.98745",north,,
62,Ciclo e Caffè (Changi Village),"1.3885279,103.9876314",north,,
63,Jacob’s Cafe (Changi Village),"1.3894276733316462,103.98675613785926",north,,
64,East Coast Commune (East Coast Park),"1.3013796,103.91289",north,,
65,June Coffee (East Coast),"1.304937,103.9031706",north,,
66,Neptune (East Coast),"1.3078254,103.9075092",north,,
67,Cafe De Swan (Swan Lake Ave),"1.3215823,103.9239296",north,,
68,Le Petit Paris (Swan Lake Ave),"1.3212409,103.9240964",north,,
69,6 Letter Coffee (Tanjong Katong),"1.28967,103.85007",north,,
70,Kazo Cafe (Tanjong Katong),"1.3068717,103.8957999",north,,
71,Marais Coffee & Bakes (Tanjong Katong),"1.3148959,103.8949517",north,,
72,Supernova (Tanjong Katong),"1.3058748,103.895795",northeast,,
73,Dutch Colony Coffee Co. (Tampines),"1.3538469,103.9403175",northeast,,
74,GIG Cafe (Tampines),"1.3440139,103.9561055",northeast,,
75,Lola’s (Tampines),"1.3525435,103.9447383",northeast,,
76,The Tree Cafe (Tampines),"1.3523775,103.9438195",northeast,,
77,Curry Café (Admiralty Link),"1.4552695955487818,103.8153630020864",northeast,,
78,CUP2CUP (Admiralty Drive),"1.4524205,103.8137962",northeast,,
79,Community Brew (Canberra Link),"1.4477253,103.8231771",northeast,,
80,The Cafe & Bar (Gambas Crescent),"1.4444686684240817,103.81237865714728",northeast,,
81,Brunch at Legundi (Jalan Legundi),"1.4418128,103.8237373",northeast,,
82,Nosh (Jalan Legundi),"1.4418128,103.8237373",northeast,,
83,SASCO (Khatib),"1.4178123,103.8326977",northeast,,
84,Nicher (Springside Walk),"1.4047920271911023,103.81953861568957",northeast,,
85,The Urban Hideout (Springside Walk),"1.404713394348921,103.81944299532938",northeast,,
86,Cat & The Fiddle Cafe (Woodlands),"        1.4350613,103.7854084",northeast,,
87,Citrus By The Pool (Woodlands),"1.4345952258630592,103.77938685255377",northeast,,
88,Rocky Master (Woodlands),"1.28967,103.85007",northeast,,
89,Parched by Parchmen (Woodlands),"1.4354296,103.7880476",northeast,,
90,Quasont. (Woodlands)," 1.4377962,103.7952803",northeast,,
91,Fuel Up (Yishun),"1.437971,103.8446655",northeast,,
92,Refuel J9 (Yishun),"1.4333998,103.8412236",south,,
93,Slow Bakes (Yishun),"1.4263674,103.8383308",south,,
94,Jing Si Books & Cafe (Yishun),"1.4263674,103.8383308",south,,
95,Anagram (Alexandra),"1.2881127885303671,103.80450259667822",south,,
96,Common Man Coffee Roasters (Alexandra),"1.2889422,103.8056076",south,,
97,Overbrød (Alexandra),"1.2889365,103.805187",south,,
98,Sando (Alexandra),"1.2774608,103.800165",south,,
99,Tiong Bahru Bakery (Alexandra),"1.2888151,103.8052457",south,,
100,Carrara (Bukit Merah),"1.286695,103.806587",south,,
101,Kyuukei Coffee (Bukit Merah),"1.286597,103.8049534",south,,
102,Refuel II (Bukit Merah),"1.2817012,103.8243892",south,,
103,Rookie's Coffee Shop (Bukit Merah),"1.2862952,103.8036346",south,,
104,Bee's Knees at The Garage (Cluny Park),"1.3189632,103.8155809",south,,
105,Small Batch (Cluny Road),"1.3210746,103.817779",south,,
106,Tolido's Espresso Nook (Crawford Lane),"1.3045173,103.8609166",south,,
107,Atlas Coffeehouse (Duke's Road),"1.3228227,103.8119665",south,,
108,Space Coffee (Geylang),"1.3147561,103.8905608",south,,
109,Banchong Cafe (Kallang),"1.28967,103.85007",south,,
110,Teahouse 1973 (Sims Pl),"1.317011,103.879855",south,,
111,Hainan Street Café (Stadium Walk),"1.33333,103.86667",west,,
112,Sin & Savage Bakehouse (Stirling),"1.2904084,103.8030902",west,,
113,Tiong Hoe Specialty Coffee (Stirling),"1.2909008,103.8030815",west,,
114,Bok's Kitchen by Hidden Chefs (Boon Lay),"1.3496615,103.7117446",west,,
115,Whisk and Paddle (Bukit Gombak),"1.3674059,103.7511314",west,,
116,Daily Ground (Bukit Timah Road),"1.357107,103.8194992",west,,
117,Hello Arigato (Bukit Timah Road),"1.3229488,103.8118087",west,,
118,Prairie by Craftsmen (Bukit Timah Road),"1.3229488,103.8118087",west,,
119,Benches Cafe (Clementi),"1.2998311,103.7681712",west,,
120,Buttercake N Cream (Clementi),"1.3219027,103.7698001",west,,
121,Monday Coffee Bar (Clementi),"1.3223101,103.7637466",west,,
122,Olla Specialty Coffee (Clementi),"1.3184911,103.7683046",west,,
123,Atlas Coffeehouse (Duke's Road),"1.3228227,103.8119665",west,,
124,Bread Yard (Galaxis),"1.2999411197265907,103.78823692483795",west,,
125,House Downstairs (Ghim Moh Rd),"1.312108,103.7895973",west,,
126,Coexist Coffee Co. (Hillview Terrace),"1.3529344,103.7576727",west,,
127,Pullman Bakery (Jurong),"1.3327178,103.7395344",west,,
128,Time Table Cafe (Jurong),"1.3506239,103.7198159",west,,
129,Yeast Side (King Albert Park),"1.3368281,103.7792889",west,,
130,Two Men Bagel House (Lorong Liput),"1.3103641,103.7950827",west,,
131,Co-Op Cafe (Nanyang Avenue),"1.3563471,103.6913456",west,,
132,Venture Drive Coffee (Nanyang Avenue),"1.3487577,103.6784309",west,,
133,Dewgather (The Star Vista),"1.3074823,103.7882862",west,,
134,Plan A Dessert Cafe (The Star Vista),"1.3074823,103.7882862",west,-,
